name,left_over_total,offered_reimbursable,leftover_rate
Fat Free White Milk (Each),130107.0,214114,60.765293254995
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",3042.0,5919,51.39381652306133
1% White Milk (Each),232248.0,453526,51.20941247028836
Fat Free Unflavored Shelf-Stable Milk (Each),1728.0,3544,48.75846501128668
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",66.0,140,47.14285714285714
String Cheese (Each),3424.0,8013,42.73056283539249
1% Unflavored Shelf-Stable Milk (Each),3868.0,9493,40.74581270409776
Assorted  4 oz Yogurt (Container),3281.0,8420,38.966745843230406
"Lactose Free, White Milk (Each)",939.0,2709,34.66223698781838
Mustard Packet (Packet),42061.0,121981,34.4815995933793
Fat Free Chocolate Milk (Each),454200.0,1388841,32.703527617632254
Steamed Broccoli (1/4 cups),106.0,328,32.31707317073171
"Cheese, Shredded, Cheddar (Cup)",125.0,391,31.9693094629156
Black Beans (2 Tablespoons),585.0,1837,31.84540010887316
Chickpeas (2 Tablespoons),1042.0,3290,31.671732522796354
Wheat Thins (Package),240.0,774,31.007751937984494
WG Baked Funyuns (Each),2274.0,7410,30.688259109311737
"Patty, Chicken, Breaded, WG (Serving)",140.0,463,30.237580993520517
"Milk, Soy, Vanilla (24/8 oz) (each)",144.0,484,29.75206611570248
Cheddar Chex Mix (Package),686.0,2339,29.328772979905942
"Peppers, red, pre-sliced (1/4 cup sliced)",1052.0,3629,28.98870212179664
Peach Yogurt Power Pack (Power Packs),9553.0,33450,28.559043348281016
"Peppers, Red, Whole (2 Tablespoons)",1545.0,5641,27.388760858003902
Italian Dressing (1 ounce),45526.0,166519,27.339823083251762
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",1202.0,4435,27.102593010146563
SS Cheetos Fantastix Flaming Hot (Each),2477.0,9322,26.57155116927698
Sub Roll (Sub Roll),2974.0,11217,26.51332798430953
Cucumber Slices (2 Tablespoon),1684.0,6574,25.61606327958625
Corn (2 Tablespoons (thawed)),2403.0,9437,25.463600720567975
Cool Ranch Reduced Fat Doritos (Each),2115.0,8308,25.457390467019742
Strawberry & Banana Yogurt Power Pack (Power Packs),13961.0,55317,25.23817271363234
Original Flavored Dried Cranberries (Package),2549.0,10218,24.94617341945586
Doritos RF Nacho Cheese (Each),2610.0,10544,24.75341426403642
"Cucumbers (1/4 cup sliced, 3 slices)",69.0,279,24.731182795698924
Grape Tomatoes (2 Tablespoons),65.0,263,24.714828897338403
Potstickers (6 Potstickers),759.0,3101,24.475975491776847
Celery Sticks (1/4 cup),544.0,2269,23.975319524019394
Bean Street Tacos on Flour Tortillas (2 Tacos),24.0,101,23.762376237623762
Cherry Vanilla Yogurt Power Pack (Power Packs),7356.0,30987,23.73898731726208
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",3336.0,14186,23.516142675877628
"Peppers, green, pre-sliced (1/4 cup sliced)",579.0,2464,23.498376623376625
"WG 10"" Flour Tortilla (Tortilla)",3398.0,14528,23.38931718061674
"Onions, Red, Whole (2 Tablespoons (sliced))",2241.0,9650,23.22279792746114
Black Beans (1/4 Cup),7729.0,33347,23.177497226137284
Chickpeas (1/2 cup),2026.0,8771,23.09884847793866
Strawberry Parfait Power Pack (Power Pack),1584.0,6877,23.0332994038098
Black Beans - salad bar entree (1/2 cup),2985.0,12989,22.98098390946185
Strawberry Chex Mix (Package),2555.0,11122,22.97248696277648
Orange Tangerine Juice (Each),6129.0,26831,22.842980134918562
Tex Mex Corn (1/4 cup),98.0,432,22.685185185185187
Lay's RF Kettle Original Chips (Each),1895.0,8455,22.41277350680071
"Sauce, Spicy Mayo (tbsp)",4017.0,18298,21.95321893103071
"Peppers, Green, Whole (2 Tablespoon)",1292.0,5916,21.839080459770116
SS Baked Cheetos Flaming Hot (Each),3522.0,16215,21.720629047178537
WG Chocolate Chip Rice Krispy Treats (Each),1893.0,8731,21.681365250257702
Chickpeas - salad bar entree (1/2 cup),3862.0,17878,21.60196890032442
"Peppers, Green, Whole (1/4 cup)",88.0,412,21.35922330097087
RF Kettle Chips Sea Salt & Vinegar Chips (Each),3974.0,18845,21.087821703369595
Orange Flavored Dried Cranberries (Each),7552.0,35879,21.048524206360266
SS Baked Cheetos Flaming Limon (Each),1926.0,9282,20.74983839689722
"Patty, Chicken, Spicy, Breaded (2 strips)",1809.0,8744,20.68847209515096
Kellogg’s W/G Rice Krispies Treats (Each),2198.0,10894,20.176243803928767
