name,discarded_total
"-Peas and Diced Carrots, Frozen (1/2 cup)",0.0
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",0.0
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",0.0
"Cheese, American, Sliced (3 slices)",0.0
"Cheese, American, Sliced (Slice)",0.0
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",0.0
Orange Flavored Dried Cranberries (Each),0.0
Cherry Flavored Dried Cranberries (2 Eaches),0.0
Cherry Flavored Dried Cranberries (Each),0.0
Cherry Vanilla Yogurt (Container),0.0
Orange Flavored Dried Cranberries (2 Eaches),0.0
Orange (Each - serving),0.0
Orange (1/4 cup),0.0
Oat Milk (Each),0.0
Chilled Mandarin Oranges (1/2 cup (drained)),0.0
"Nutri-Grain, Strawberry (each)",0.0
Chilled Peaches (1/2 cup),0.0
"Nutri-Grain, Blueberry (each)",0.0
Gala Apple (Each),0.0
"Frozen, Blueberries (1/2 cup)",0.0
Manager's Vegetable Choice (1/2 cup),0.0
Mandarin Orange Pepper Fruit Salsa (1 TBSP),0.0
Fat Free Unflavored Shelf-Stable Milk (Each),0.0
Fat Free Chocolate Milk (Each),0.0
"Bread, Loco (1/2 piece)",0.0
"Egg, Hard Boiled, Bulk pouch (Each)",0.0
"Milk, Soy, Vanilla (24/8 oz) (each)",0.0
Mini Maple Waffles (Package),0.0
Natural Blackberry Jam (Packet),0.0
Cinnamon Waffle (each),0.0
"Nutri-Grain, Apple Cinnamon (each)",0.0
Chilled Pineapple (1/4 cup),0.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0.0
Ketchup Packet (Packet),0.0
"Bread, Hamburger Bun (Bun)",0.0
Peach Yogurt (Container),0.0
1% Unflavored Shelf-Stable Milk (Each),0.0
Watermelon Flavored Dried Cranberries (Each),0.0
Apple Berry Smoothie (8oz portion),0.0
Watermelon Flavored Dried Cranberries (2 Eaches),0.0
"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",0.0
Vegan Burger (Sandwich),0.0
Strawberry Parfait Power Pack (Power Pack),0.0
Strawberry Flavored Dried Cranberries (Each),0.0
"Apple Slices (3 slices, 1/4 cup)",0.0
Apple Slices (6 Slices per 1/2 cup),0.0
"Apple Slices (6 Slices, 1/2 cup)",0.0
Strawberry Flavored Dried Cranberries (2 Eaches),0.0
Applesauce (1/4 cup),0.0
"Patty, Chicken, Breaded, WG (2 strips)",0.0
